category,true_equivalent_count,predicted_equivalent_tp,predicted_equivalent_fp,safety_violations,review_count,equivalent_precision,equivalent_recall
bakery,9,9,0,0,0,1.0,1.0
beverages,64,56,0,0,8,1.0,0.875
butter,6,6,0,0,0,1.0,1.0
cheese,12,12,0,0,0,1.0,1.0
dairy_milk,27,27,0,0,0,1.0,1.0
eggs,12,12,0,0,0,1.0,1.0
frozen,16,16,0,0,0,1.0,1.0
meat_seafood,12,0,0,0,3,0.0,0.0
pantry,72,61,0,3,11,1.0,0.8472
plant_based_milk,24,19,0,0,2,1.0,0.7917
produce,27,18,0,0,5,1.0,0.6667
snacks,27,19,0,0,8,1.0,0.7037
yogurt,24,22,0,0,2,1.0,0.9167
