candidate_pair_id,product_id_a,retailer_a,raw_name_a,canonical_brand_a,product_type_a,category_family_a,total_quantity_a,quantity_type_a,package_type_a,is_private_label_a,overall_confidence_a,needs_review_a,product_id_b,retailer_b,raw_name_b,canonical_brand_b,product_type_b,category_family_b,total_quantity_b,quantity_type_b,package_type_b,is_private_label_b,overall_confidence_b,needs_review_b,blocking_reasons_json,shared_tokens_json,shared_token_count,same_product_type,same_category_family,same_brand,both_private_label,same_quantity_type,quantity_ratio,quantity_compatible,candidate_priority
cand_000001,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0001,target,Good & Gather Organic Whole Milk 1 Gal,Good & Gather,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",1,True,True,False,True,True,1.0,True,HIGH
cand_000002,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0002,target,"Good & Gather Whole Milk, 1 Gallon",Good & Gather,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",1,True,True,False,True,True,1.0,True,HIGH
cand_000003,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0041,target,Horizon Organic Whole Milk - 0.5 Gal,Horizon Organic,milk,dairy_milk,64.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",1,True,True,False,False,True,0.5,False,LOW
cand_000004,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0042,target,Horizon Organic 2% Reduced Fat Milk - 1 Gal,Horizon Organic,milk,dairy_milk,128.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",1,True,True,False,False,True,1.0,True,HIGH
cand_000005,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0043,target,Fairlife Lactose Free 2% Reduced Fat Ultra Filtered Milk - 52 fl oz,Fairlife,milk,dairy_milk,52.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",1,True,True,False,False,True,0.4062,False,LOW
cand_000006,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0088,target,Good & Gather Organic Whole Milk 1/2 Gal,Good & Gather,milk,dairy_milk,64.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",1,True,True,False,True,True,0.5,False,HIGH
cand_000007,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0180,target,Market Pantry Plain Whole Milk Yogurt - 32 oz,Market Pantry,milk,dairy_milk,32.0,weight,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",1,True,True,False,True,False,0.25,False,HIGH
cand_000008,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0001,whole_foods,"365 Organic Whole Milk, 128 fl oz",365,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",1,True,True,False,True,True,1.0,True,HIGH
cand_000009,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0002,whole_foods,365 Whole Milk 1 Gallon,365,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",1,True,True,False,True,True,1.0,True,HIGH
cand_000010,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0003,whole_foods,365 2% Reduced Fat Milk 64 fl oz,365,milk,dairy_milk,64.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",1,True,True,False,True,True,0.5,False,HIGH
