product_id,retailer,raw_name,cleaned_name,brand_raw,canonical_brand,category_raw,category_family_from_raw,product_type,category_family,price,unit_price,promo_text,amount,unit,pack_count,size_value,size_unit,unit_quantity,total_quantity,quantity_type,canonical_unit,package_type,is_organic_raw,is_private_label_raw,is_private_label_detected,attributes_json,confidence_json,overall_confidence,needs_review,missing_required_fields_json,warnings_json,url,scraped_at,estimated_cost
wf_0001,whole_foods,"365 Organic Whole Milk, 128 fl oz",365 organic whole milk 128 fl oz,365,365,Dairy & Eggs,unknown,milk,dairy_milk,7.54,0.0589,,128.0,fl oz,1,128.0,fl_oz,128.0,128.0,volume,fl_oz,unknown,True,True,True,"{""fat_content"": ""whole"", ""lactose_free"": false, ""organic"": true, ""package_type"": ""unknown""}","{""attributes"": 1.0, ""brand"": 1.0, ""needs_review"": false, ""overall"": 0.92, ""product_type"": 1.0, ""quantity"": 1.0, ""warnings"": [""package_type is unknown""]}",0.92,False,[],"[""package_type is unknown""]",https://example.com/whole_foods/products/wf_0001,2026-05-08T11:43:00,5.43
wf_0002,whole_foods,365 Whole Milk 1 Gallon,365 whole milk 1 gallon,365,365,Dairy & Eggs,unknown,milk,dairy_milk,5.47,,Save $1,1.0,gal,1,1.0,gal,128.0,128.0,volume,fl_oz,unknown,False,True,True,"{""fat_content"": ""whole"", ""lactose_free"": false, ""organic"": false, ""package_type"": ""unknown""}","{""attributes"": 1.0, ""brand"": 1.0, ""needs_review"": false, ""overall"": 0.92, ""product_type"": 1.0, ""quantity"": 1.0, ""warnings"": [""package_type is unknown""]}",0.92,False,[],"[""package_type is unknown""]",https://example.com/whole_foods/products/wf_0002,2026-05-08T10:35:00,3.79
wf_0003,whole_foods,365 2% Reduced Fat Milk 64 fl oz,365 2% reduced fat milk 64 fl oz,365,365,Dairy & Eggs,unknown,milk,dairy_milk,3.85,,,64.0,fl oz,1,64.0,fl_oz,64.0,64.0,volume,fl_oz,unknown,False,True,True,"{""fat_content"": ""two_percent"", ""lactose_free"": false, ""organic"": false, ""package_type"": ""unknown""}","{""attributes"": 1.0, ""brand"": 1.0, ""needs_review"": false, ""overall"": 0.92, ""product_type"": 1.0, ""quantity"": 1.0, ""warnings"": [""package_type is unknown""]}",0.92,False,[],"[""package_type is unknown""]",https://example.com/whole_foods/products/wf_0003,2026-05-08T09:27:00,2.15
wf_0004,whole_foods,365 Unsweetened Almond Milk 64 fl oz,365 unsweetened almond milk 64 fl oz,365,365,Plant-Based,plant_based_milk,almond_milk,plant_based_milk,4.07,0.0636,Save $1,64.0,fl oz,1,64.0,fl_oz,64.0,64.0,volume,fl_oz,unknown,False,True,True,"{""barista_style"": false, ""base"": ""almond"", ""package_type"": ""unknown"", ""sweetness"": ""unsweetened""}","{""attributes"": 1.0, ""brand"": 1.0, ""needs_review"": false, ""overall"": 0.92, ""product_type"": 1.0, ""quantity"": 1.0, ""warnings"": [""package_type is unknown""]}",0.92,False,[],"[""package_type is unknown""]",https://example.com/whole_foods/products/wf_0004,2026-05-08T08:36:00,3.04
wf_0005,whole_foods,365 Original Oat Milk 64 fl oz,365 original oat milk 64 fl oz,365,365,Plant-Based,plant_based_milk,oat_milk,plant_based_milk,4.41,,,64.0,fl oz,1,64.0,fl_oz,64.0,64.0,volume,fl_oz,unknown,False,True,True,"{""barista_style"": false, ""base"": ""oat"", ""package_type"": ""unknown"", ""sweetness"": ""original""}","{""attributes"": 1.0, ""brand"": 1.0, ""needs_review"": false, ""overall"": 0.92, ""product_type"": 1.0, ""quantity"": 1.0, ""warnings"": [""package_type is unknown""]}",0.92,False,[],"[""package_type is unknown""]",https://example.com/whole_foods/products/wf_0005,2026-05-08T07:28:00,2.94
wf_0006,whole_foods,"365 Large Brown Eggs, Dozen",365 large brown eggs dozen,365,365,Dairy & Eggs,unknown,eggs,eggs,5.84,,Save $1,12.0,ct,1,12.0,count,12.0,12.0,count,count,unknown,False,True,True,"{""cage_claim"": ""unknown"", ""color"": ""brown"", ""egg_size"": ""large"", ""organic"": false, ""package_type"": ""unknown""}","{""attributes"": 1.0, ""brand"": 1.0, ""needs_review"": false, ""overall"": 0.92, ""product_type"": 1.0, ""quantity"": 1.0, ""warnings"": [""package_type is unknown""]}",0.92,False,[],"[""package_type is unknown""]",https://example.com/whole_foods/products/wf_0006,2026-05-08T06:37:00,3.75
wf_0007,whole_foods,"Save $1 365 Organic Large Brown Eggs, Dozen",save 1 365 organic large brown eggs dozen,365,365,Dairy & Eggs,unknown,eggs,eggs,8.14,0.6783,Save $1,12.0,ct,1,12.0,count,12.0,12.0,count,count,unknown,True,True,True,"{""cage_claim"": ""unknown"", ""color"": ""brown"", ""egg_size"": ""large"", ""organic"": true, ""package_type"": ""unknown""}","{""attributes"": 1.0, ""brand"": 1.0, ""needs_review"": false, ""overall"": 0.92, ""product_type"": 1.0, ""quantity"": 1.0, ""warnings"": [""package_type is unknown""]}",0.92,False,[],"[""package_type is unknown""]",https://example.com/whole_foods/products/wf_0007,2026-05-08T05:29:00,5.74
wf_0008,whole_foods,Save $1 365 Classic White Sandwich Bread 20 oz,save 1 365 classic white sandwich bread 20 oz,365,365,Bakery,bakery,bread,bakery,2.77,,Save $1,20.0,oz,1,20.0,oz,20.0,20.0,weight,oz,unknown,False,True,True,"{""flavor"": ""classic"", ""organic"": false, ""package_type"": ""unknown""}","{""attributes"": 1.0, ""brand"": 1.0, ""needs_review"": false, ""overall"": 1.0, ""product_type"": 1.0, ""quantity"": 1.0, ""warnings"": []}",1.0,False,[],[],https://example.com/whole_foods/products/wf_0008,2026-05-08T04:21:00,2.02
wf_0009,whole_foods,365 Creamy Peanut Butter 16 oz,365 creamy peanut butter 16 oz,365,365,Pantry,pantry,peanut_butter,pantry,3.95,0.2469,,16.0,oz,1,16.0,oz,16.0,16.0,weight,oz,unknown,False,True,True,"{""flavor"": ""unknown"", ""organic"": false, ""package_type"": ""unknown""}","{""attributes"": 1.0, ""brand"": 1.0, ""needs_review"": false, ""overall"": 0.92, ""product_type"": 1.0, ""quantity"": 1.0, ""warnings"": [""package_type is unknown""]}",0.92,False,[],"[""package_type is unknown""]",https://example.com/whole_foods/products/wf_0009,2026-05-08T02:22:00,2.93
wf_0010,whole_foods,365 Restaurant Style Tortilla Chips 13 oz,365 restaurant style tortilla chips 13 oz,365,365,Snacks,snacks,chips,snacks,3.29,0.2531,,13.0,oz,1,13.0,oz,13.0,13.0,weight,oz,unknown,False,True,True,"{""flavor"": ""unknown"", ""organic"": false, ""package_type"": ""unknown""}","{""attributes"": 1.0, ""brand"": 1.0, ""needs_review"": false, ""overall"": 0.92, ""product_type"": 1.0, ""quantity"": 1.0, ""warnings"": [""package_type is unknown""]}",0.92,False,[],"[""package_type is unknown""]",https://example.com/whole_foods/products/wf_0010,2026-05-08T01:14:00,1.93
