candidate_pair_id,product_id_a,retailer_a,raw_name_a,canonical_brand_a,product_type_a,category_family_a,total_quantity_a,quantity_type_a,package_type_a,is_private_label_a,overall_confidence_a,needs_review_a,product_id_b,retailer_b,raw_name_b,canonical_brand_b,product_type_b,category_family_b,total_quantity_b,quantity_type_b,package_type_b,is_private_label_b,overall_confidence_b,needs_review_b,blocking_reasons_json,shared_tokens_json,candidate_priority,title_similarity,brand_score,product_type_score,category_score,quantity_score,package_score,attribute_score,private_label_score,confidence_score,blocking_strength_score,equivalence_score,substitute_score,hard_conflicts_json,match_type,route,match_explanation
cand_000001,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0001,target,Good & Gather Organic Whole Milk 1 Gal,Good & Gather,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.6923,0.85,1.0,1.0,1.0,0.7,1.0,1.0,0.92,1.0,0.9013,0.9392,[],private_label_equivalent,auto_accept_equivalent,"Matched as private_label_equivalent because both products are retailer private labels with the same product type, compatible quantity, and compatible key attributes."
cand_000002,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0002,target,"Good & Gather Whole Milk, 1 Gallon",Good & Gather,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.5833,0.85,1.0,1.0,1.0,0.7,0.4,1.0,0.92,1.0,0.825,0.8083,"[""organic_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000003,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0041,target,Horizon Organic Whole Milk - 0.5 Gal,Horizon Organic,milk,dairy_milk,64.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.6667,0.5,1.0,1.0,0.0,0.7,1.0,0.0,0.92,0.45,0.6175,0.7317,"[""pack_size_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000004,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0042,target,Horizon Organic 2% Reduced Fat Milk - 1 Gal,Horizon Organic,milk,dairy_milk,128.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.5783,0.5,1.0,1.0,1.0,0.7,0.4,0.0,0.92,1.0,0.7717,0.8078,[],substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000005,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0043,target,Fairlife Lactose Free 2% Reduced Fat Ultra Filtered Milk - 52 fl oz,Fairlife,milk,dairy_milk,52.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.3738,0.5,1.0,1.0,0.0,0.7,0.0,0.0,0.92,0.45,0.4736,0.5024,"[""organic_conflict"", ""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000006,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0088,target,Good & Gather Organic Whole Milk 1/2 Gal,Good & Gather,milk,dairy_milk,64.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.675,0.85,1.0,1.0,0.0,0.7,1.0,1.0,0.92,1.0,0.6987,0.7875,"[""pack_size_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000007,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,tg_0180,target,Market Pantry Plain Whole Milk Yogurt - 32 oz,Market Pantry,milk,dairy_milk,32.0,weight,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.4941,0.85,1.0,1.0,0.25,0.7,0.4,1.0,0.92,1.0,0.6616,0.6869,"[""organic_conflict"", ""pack_size_conflict"", ""quantity_type_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000008,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0001,whole_foods,"365 Organic Whole Milk, 128 fl oz",365,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.6575,0.85,1.0,1.0,1.0,0.7,1.0,1.0,0.92,1.0,0.8961,0.9357,[],private_label_equivalent,auto_accept_equivalent,"Matched as private_label_equivalent because both products are retailer private labels with the same product type, compatible quantity, and compatible key attributes."
cand_000009,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0002,whole_foods,365 Whole Milk 1 Gallon,365,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.9048,0.85,1.0,1.0,1.0,0.7,0.4,1.0,0.92,1.0,0.8732,0.8405,"[""organic_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
cand_000010,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0003,whole_foods,365 2% Reduced Fat Milk 64 fl oz,365,milk,dairy_milk,64.0,volume,unknown,True,0.92,False,"[""private_label_same_product_type"", ""same_category_shared_token"", ""same_product_type""]","[""milk""]",HIGH,0.3611,0.85,1.0,1.0,0.0,0.7,0.0,1.0,0.92,1.0,0.5517,0.5561,"[""organic_conflict"", ""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000011,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0027,whole_foods,Horizn 0rganic Whole Milk 64 fl oz,Horizon Organic,milk,dairy_milk,64.0,volume,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.5676,0.5,1.0,1.0,0.0,0.7,0.4,0.0,0.92,0.45,0.5426,0.6018,"[""organic_conflict"", ""pack_size_conflict""]",ambiguous_review,review,"Routed to review because product type and category are plausible, but quantity/package evidence is incomplete or conflicting."
cand_000012,kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,milk,dairy_milk,128.0,volume,unknown,True,0.92,False,wf_0066,whole_foods,Stonyfield Organic Whole Milk Yogurt 32 oz,Stonyfield,milk,dairy_milk,32.0,weight,unknown,False,0.92,False,"[""same_category_shared_token"", ""same_product_type""]","[""milk""]",LOW,0.6585,0.5,1.0,1.0,0.25,0.7,1.0,0.0,0.92,0.45,0.6663,0.7683,"[""pack_size_conflict"", ""quantity_type_conflict""]",substitute,auto_accept_substitute,"Classified as substitute because products share product type milk and similar quantity, but brands differ, so they are comparable but not exact equivalents."
