product_id,retailer,raw_name,brand,category_raw,price,unit_price,promo_text,amount,unit,pack_count,is_organic,is_private_label,url,scraped_at,estimated_cost
kr_0001,kroger,Simple Truth Organic Whole Milk 1 Gallon,Simple Truth,Dairy,5.53,5.53,2 for $5,1.0,gal,1,True,True,https://example.com/kroger/products/kr_0001,2026-05-08T11:26:00,5.2
kr_0002,kroger,2 for $5 Kroger Whole Milk 1 Gallon,Kroger,Dairy,4.58,,2 for $5,1.0,gal,1,False,True,https://example.com/kroger/products/kr_0002,2026-05-08T10:18:00,3.43
kr_0003,kroger,Kroger 2% Reduced Fat Milk 1/2 Gallon,Kroger,Dairy,2.99,5.98,Digital coupon,0.5,gal,1,False,True,https://example.com/kroger/products/kr_0003,2026-05-08T09:10:00,2.25
kr_0004,kroger,Simple Truth Unsweetened Almondmilk Half Gallon,Simple Truth,Dairy,3.36,6.72,,0.5,gal,1,False,True,https://example.com/kroger/products/kr_0004,2026-05-08T08:19:00,2.62
kr_0005,kroger,Simple Truth Oatmilk Original 64 fl oz,Simple Truth,Dairy,4.03,0.063,Digital coupon,64.0,fl oz,1,False,True,https://example.com/kroger/products/kr_0005,2026-05-08T07:11:00,3.84
kr_0006,kroger,"Kroger Grade A Large Brown Eggs, 12 ct",Kroger,Dairy,3.93,0.3275,Digital coupon,12.0,ct,1,False,True,https://example.com/kroger/products/kr_0006,2026-05-08T06:20:00,2.69
kr_0007,kroger,Simple Truth Organic Cage Free Large Brown Eggs 12 ct,Simple Truth,Dairy,6.65,,,12.0,ct,1,True,True,https://example.com/kroger/products/kr_0007,2026-05-08T05:12:00,3.95
kr_0008,kroger,Kroger White Sandwich Bread 20 oz Loaf,Kroger,Bakery,2.56,,Club price,20.0,oz,1,False,True,https://example.com/kroger/products/kr_0008,2026-05-08T04:04:00,1.52
kr_0009,kroger,Kroger 100% Whole Wheat Bread 20 oz,Kroger,Bakery,2.64,,2 for $5,20.0,oz,1,False,True,https://example.com/kroger/products/kr_0009,2026-05-08T03:13:00,2.02
kr_0010,kroger,Kroger Creamy Peanut Butter 16 oz Jar,Kroger,Pantry,2.95,,2 for $5,16.0,oz,1,False,True,https://example.com/kroger/products/kr_0010,2026-05-08T02:05:00,2.25
kr_0011,kroger,"Kroger Restaurant Style Tortilla Chips, 13 oz",Kroger,Snacks,2.46,,Save $1.50,13.0,oz,1,False,True,https://example.com/kroger/products/kr_0011,2026-05-08T00:57:00,1.66
kr_0012,kroger,Save $1 Kroger Pepperoni Frozen Pizza 12 inch,Kroger,Frozen,4.0,0.3333,Save $1,12.0,oz,1,False,True,https://example.com/kroger/products/kr_0012,2026-05-08T00:06:00,3.0
kr_0013,kroger,Simple Truth Organic Gala Apples 3 lb Bag,Simple Truth,Fresh Produce,5.11,,,3.0,lb,1,True,True,https://example.com/kroger/products/kr_0013,2026-05-07T22:58:00,3.18
kr_0014,kroger,"Kroger Lime Sparkling Water 8 ct, 12 fl oz cans",Kroger,Soft Drinks,3.6,,2 for $5,12.0,fl oz,8,False,True,https://example.com/kroger/products/kr_0014,2026-05-07T21:50:00,2.14
kr_0015,kroger,Simple Truth Organic Baby Spinach 5 oz,Simple Truth,Fresh Produce,3.88,,Club price,5.0,oz,1,True,True,https://example.com/kroger/products/kr_0015,2026-05-07T20:42:00,2.93
kr_0016,kroger,Save $1.50 Kroger Plain Greek Yogurt 32 oz,Kroger,Dairy,4.16,0.13,Save $1.50,32.0,oz,1,False,True,https://example.com/kroger/products/kr_0016,2026-05-07T19:51:00,2.66
kr_0017,kroger,Kroger Unsalted Sweet Cream Butter 1 lb (4 Sticks),Kroger,Dairy,5.03,,,1.0,lb,4,False,True,https://example.com/kroger/products/kr_0017,2026-05-07T18:43:00,3.26
kr_0018,kroger,Kroger Mild Shredded Cheddar Cheese 8 oz,Kroger,Dairy,2.85,0.3563,Save $1,8.0,oz,1,False,True,https://example.com/kroger/products/kr_0018,2026-05-07T17:52:00,1.97
kr_0019,kroger,Kroger Black Beans 15 oz Can,Kroger,Canned & Packaged,1.24,,Save $1,15.0,oz,1,False,True,https://example.com/kroger/products/kr_0019,2026-05-07T16:44:00,1.21
kr_0020,kroger,Kroger Condensed Tomato Soup 10.75 oz,Kroger,Canned & Packaged,1.51,,2 for $5,10.75,oz,1,False,True,https://example.com/kroger/products/kr_0020,2026-05-07T15:53:00,0.92
kr_0021,kroger,Kroger Long Grain White Rice 5 lb Bag,Kroger,Pantry,5.71,1.142,2 for $5,5.0,lb,1,False,True,https://example.com/kroger/products/kr_0021,2026-05-07T15:02:00,4.05
kr_0022,kroger,Kroger Spaghetti Pasta 1 lb Box,Kroger,Pantry,1.59,1.59,Save $1.50,1.0,lb,1,False,True,https://example.com/kroger/products/kr_0022,2026-05-07T13:54:00,0.91
kr_0023,kroger,Save $1 Kroger 100% Orange Juice No Pulp 52 fl oz,Kroger,Beverages,3.97,0.0763,Save $1,52.0,fl oz,1,False,True,https://example.com/kroger/products/kr_0023,2026-05-07T13:03:00,3.05
kr_0024,kroger,Kroger Baby Cut Carrots 1 lb Bag,Kroger,Fresh Produce,1.82,1.82,Club price,1.0,lb,1,False,True,https://example.com/kroger/products/kr_0024,2026-05-07T12:12:00,1.3
kr_0025,kroger,Kroger Original Cream Cheese 8 oz,Kroger,Dairy,2.34,0.2925,2 for $5,8.0,oz,1,False,True,https://example.com/kroger/products/kr_0025,2026-05-07T11:21:00,1.43
kr_0026,kroger,Krger Extra V1rg1n Olive OiI 17 0z,Kroger,Pantry,7.79,0.4582,Digital coupon,17.0,fl oz,1,False,True,https://example.com/kroger/products/kr_0026,2026-05-07T10:13:00,5.46
kr_0027,kroger,Kroger Pure Honey 12 oz,Kroger,Pantry,4.75,0.3958,Save $1.50,12.0,oz,1,False,True,https://example.com/kroger/products/kr_0027,2026-05-07T09:05:00,3.11
kr_0028,kroger,Coke Zero 12pk 12 oz cans,Coke,Soft Drinks,8.31,0.0577,Save $1.50,12.0,fl oz,12,False,False,https://example.com/kroger/products/kr_0028,2026-05-07T08:14:00,5.61
kr_0029,kroger,Coke Zero 6pk 12 oz cans,Coke,Soft Drinks,5.01,0.0696,,12.0,fl oz,6,False,False,https://example.com/kroger/products/kr_0029,2026-05-07T07:23:00,3.73
kr_0030,kroger,"Coca-Cola Classic 12pk, 12 oz cans",Coca-Cola,Soft Drinks,8.55,0.0594,,12.0,fl oz,12,False,False,https://example.com/kroger/products/kr_0030,2026-05-07T06:15:00,6.47
kr_0031,kroger,Coca-Cola Classic 2 L Bottle,Coca-Cola,Soft Drinks,2.55,,Digital coupon,2.0,liter,1,False,False,https://example.com/kroger/products/kr_0031,2026-05-07T05:24:00,1.73
kr_0032,kroger,Diet Cok 12pk 12 oz cans,Coke,Soft Drinks,8.24,0.0572,Save $1.50,12.0,fl oz,12,False,False,https://example.com/kroger/products/kr_0032,2026-05-07T04:33:00,6.19
kr_0033,kroger,Sprite Lemon-Lime 12pk 12 oz cans,Sprite,Soft Drinks,8.08,,Club price,12.0,fl oz,12,False,False,https://example.com/kroger/products/kr_0033,2026-05-07T03:42:00,7.87
kr_0034,kroger,Pepsi Cola 12pk 12 oz cans,Pepsi,Soft Drinks,7.01,0.0487,Digital coupon,12.0,fl oz,12,False,False,https://example.com/kroger/products/kr_0034,2026-05-07T02:51:00,4.04
kr_0035,kroger,LaCroix Lime Sparkling Water 8pk 12 oz,LaCroix,Soft Drinks,4.89,,Club price,12.0,fl oz,8,False,False,https://example.com/kroger/products/kr_0035,2026-05-07T01:43:00,2.93
kr_0036,kroger,LaCroix Lime Sparkling Water 12pk 12 oz,LaCroix,Soft Drinks,6.02,,,12.0,fl oz,12,False,False,https://example.com/kroger/products/kr_0036,2026-05-07T00:52:00,4.51
kr_0037,kroger,LaCroix Pamplemousse Grapefruit Sparkling Water 8pk 12 oz,LaCroix,Soft Drinks,3.72,,Save $1.50,12.0,fl oz,8,False,False,https://example.com/kroger/products/kr_0037,2026-05-06T23:44:00,2.28
kr_0038,kroger,Silk Unsweet Almond Milk Half Gallon,Silk,Dairy,4.52,9.04,,0.5,gal,1,False,False,https://example.com/kroger/products/kr_0038,2026-05-06T22:53:00,2.81
kr_0039,kroger,Club price Silk Original Soymilk Half Gallon,Silk,Dairy,4.29,,Club price,0.5,gal,1,False,False,https://example.com/kroger/products/kr_0039,2026-05-06T22:02:00,3.16
