product_id,retailer,raw_name,brand,category_raw,price,unit_price,promo_text,amount,unit,pack_count,is_organic,is_private_label,url,scraped_at,estimated_cost
wm_0001,walmart,Great Value Organic Whole Milk 1 gal,Great Value,Dairy & Eggs,5.43,,Save $2,1.0,gal,1,True,True,https://example.com/walmart/products/wm_0001,2026-05-08T11:09:00,3.19
wm_0002,walmart,Great Value Whole Milk 1 gal,Great Value,Dairy & Eggs,3.82,3.82,Save $1,1.0,gal,1,False,True,https://example.com/walmart/products/wm_0002,2026-05-08T10:01:00,2.92
wm_0003,walmart,Great Value 2% Reduced Fat Milk 0.5 gal,Great Value,Dairy & Eggs,2.44,,,0.5,gal,1,False,True,https://example.com/walmart/products/wm_0003,2026-05-08T08:53:00,1.67
wm_0004,walmart,"Great Value Unsweetened Almond Milk, 64 fl oz",Great Value,Dairy & Eggs,3.12,,Save $2,64.0,fl oz,1,False,True,https://example.com/walmart/products/wm_0004,2026-05-08T08:02:00,1.91
wm_0005,walmart,Great Value Cage Free Large Brown Eggs 12 Count,Great Value,Dairy & Eggs,3.99,0.3325,,12.0,ct,1,False,True,https://example.com/walmart/products/wm_0005,2026-05-08T06:03:00,2.22
wm_0006,walmart,"Great Value Organic Large Brown Eggs, 12 Count",Great Value,Dairy & Eggs,5.83,0.4858,,12.0,ct,1,True,True,https://example.com/walmart/products/wm_0006,2026-05-08T04:55:00,3.8
wm_0007,walmart,"Great Value White Sandwich Bread, 20 oz",Great Value,Bakery,2.26,,,20.0,oz,1,False,True,https://example.com/walmart/products/wm_0007,2026-05-08T03:47:00,1.55
wm_0008,walmart,Great Value 100% Whole Wheat Bread 20 oz,Great Value,Bakery,2.2,,Buy 2 save $1,20.0,oz,1,False,True,https://example.com/walmart/products/wm_0008,2026-05-08T02:56:00,1.68
wm_0009,walmart,"Great Value Creamy Peanut Butter, 16 oz",Great Value,Pantry,2.85,,,16.0,oz,1,False,True,https://example.com/walmart/products/wm_0009,2026-05-08T01:48:00,1.75
wm_0010,walmart,Great Value Restaurant Style White Corn Tortilla Chips 13 oz,Great Value,Snacks,2.34,0.18,Save $2,13.0,oz,1,False,True,https://example.com/walmart/products/wm_0010,2026-05-08T00:40:00,1.81
wm_0011,walmart,"Buy 2 save $1 Great Value Pepperoni Frozen Pizza, 12 in",Great Value,Frozen Foods,4.11,0.3425,Buy 2 save $1,12.0,oz,1,False,True,https://example.com/walmart/products/wm_0011,2026-05-07T23:49:00,2.64
wm_0012,walmart,"Great Value Organic Gala Apples, 3 lb Bag",Great Value,Produce,5.55,0.1156,Buy 2 save $1,48.0,oz,1,True,True,https://example.com/walmart/products/wm_0012,2026-05-07T22:41:00,3.76
wm_0013,walmart,Great Value Lime Sparkling Water 8pk 12oz,Great Value,Beverages,3.08,0.0321,,12.0,fl oz,8,False,True,https://example.com/walmart/products/wm_0013,2026-05-07T21:33:00,2.18
wm_0014,walmart,Great Value Plain Nonfat Greek Yogurt 32 oz,Great Value,Dairy & Eggs,4.0,,Buy 2 save $1,32.0,oz,1,False,True,https://example.com/walmart/products/wm_0014,2026-05-07T19:34:00,2.56
wm_0015,walmart,"Great Value Unsalted Sweet Cream Butter, 16 oz",Great Value,Dairy & Eggs,4.11,0.0642,,16.0,oz,4,False,True,https://example.com/walmart/products/wm_0015,2026-05-07T18:26:00,2.98
wm_0016,walmart,"Great Value Finely Shredded Mild Cheddar Cheese, 8 oz",Great Value,Dairy & Eggs,2.91,,Save $1,8.0,oz,1,False,True,https://example.com/walmart/products/wm_0016,2026-05-07T17:35:00,1.71
wm_0017,walmart,"Great Value Black Beans, 15 oz",Great Value,Pantry,1.02,,,15.0,oz,1,False,True,https://example.com/walmart/products/wm_0017,2026-05-07T16:27:00,0.59
wm_0018,walmart,"Great Value Condensed Tomato Soup, 10.75 oz",Great Value,Pantry,1.28,,Rollback,10.75,oz,1,False,True,https://example.com/walmart/products/wm_0018,2026-05-07T15:36:00,0.71
wm_0019,walmart,"Great Value Long Grain Enriched White Rice, 5 lb",Great Value,Pantry,4.82,0.964,Save $1,5.0,lb,1,False,True,https://example.com/walmart/products/wm_0019,2026-05-07T14:45:00,3.39
wm_0020,walmart,"Great Value Spaghetti Pasta, 16 oz",Great Value,Pantry,1.24,,,16.0,oz,1,False,True,https://example.com/walmart/products/wm_0020,2026-05-07T13:37:00,0.69
wm_0021,walmart,"Great VaIue 100% Orange Juic No Pulp, 52 fl oz",Great Value,Beverages,3.55,,,52.0,fl oz,1,False,True,https://example.com/walmart/products/wm_0021,2026-05-07T12:46:00,2.56
wm_0022,walmart,"Buy 2 save $1 Great Value Baby-Cut Carrots, 1 lb",Great Value,Produce,1.86,,Buy 2 save $1,1.0,lb,1,False,True,https://example.com/walmart/products/wm_0022,2026-05-07T11:55:00,1.07
wm_0023,walmart,"Save $1 Great Value Original Cream Cheese, 8 oz",Great Value,Dairy & Eggs,2.1,0.2625,Save $1,8.0,oz,1,False,True,https://example.com/walmart/products/wm_0023,2026-05-07T11:04:00,1.62
wm_0024,walmart,"Great Value Extra Virgin Olive Oil, 17 fl oz",Great Value,Pantry,7.2,0.4235,Save $1,17.0,fl oz,1,False,True,https://example.com/walmart/products/wm_0024,2026-05-07T09:56:00,4.4
wm_0025,walmart,Coca-Cola Zero Sugar Soda 12-Pack 12 fl oz,Coca-Cola,Beverages,7.84,0.0544,Rollback,12.0,fl oz,12,False,False,https://example.com/walmart/products/wm_0025,2026-05-07T07:57:00,5.05
wm_0026,walmart,Save $1 Coca-CoIa Zro Sugar Soda 6-Pack 12 fl oz,Coca-Cola,Beverages,5.01,0.0696,Save $1,12.0,fl oz,6,False,False,https://example.com/walmart/products/wm_0026,2026-05-07T07:06:00,3.58
wm_0027,walmart,Coca-Cola Classic 12-Pack 12 fl oz Cans,Coca-Cola,Beverages,7.62,0.0529,Rollback,12.0,fl oz,12,False,False,https://example.com/walmart/products/wm_0027,2026-05-07T05:58:00,5.31
wm_0028,walmart,"Coca-Cola Classic, 2 L",Coca-Cola,Beverages,2.45,,Buy 2 save $1,2.0,liter,1,False,False,https://example.com/walmart/products/wm_0028,2026-05-07T05:07:00,1.78
wm_0029,walmart,Diet Coke Soda 12-Pack 12 fl oz,Coca-Cola,Beverages,7.77,,Save $2,12.0,fl oz,12,False,False,https://example.com/walmart/products/wm_0029,2026-05-07T04:16:00,5.71
wm_0030,walmart,Sprite Lemon Lime Soda 12-Pack 12 fl oz,Sprite,Beverages,7.16,,Buy 2 save $1,12.0,fl oz,12,False,False,https://example.com/walmart/products/wm_0030,2026-05-07T03:25:00,5.05
wm_0031,walmart,Save $2 Pepsi Soda 12-Pack 12 fl oz,Pepsi,Beverages,8.15,,Save $2,12.0,fl oz,12,False,False,https://example.com/walmart/products/wm_0031,2026-05-07T02:34:00,5.87
wm_0032,walmart,LaCroix Sparkling Water Lime 8-Pack 12 fl oz Cans,LaCroix,Beverages,3.66,,,12.0,fl oz,8,False,False,https://example.com/walmart/products/wm_0032,2026-05-07T01:26:00,2.19
wm_0033,walmart,LaCroix Sparkling Water Lime 12-Pack 12 fl oz,LaCroix,Beverages,4.97,0.0345,Rollback,12.0,fl oz,12,False,False,https://example.com/walmart/products/wm_0033,2026-05-07T00:35:00,3.58
wm_0034,walmart,"Silk Unsweetened Almondmilk, 64 fl oz",Silk,Dairy & Eggs,4.26,0.0666,Rollback,64.0,fl oz,1,False,False,https://example.com/walmart/products/wm_0034,2026-05-06T22:36:00,2.43
wm_0035,walmart,Silk Original Soymilk 64 fl oz,Silk,Dairy & Eggs,3.58,,Save $2,64.0,fl oz,1,False,False,https://example.com/walmart/products/wm_0035,2026-05-06T21:45:00,2.19
wm_0036,walmart,"Horizon Organic Whole Milk, 64 fl oz",Horizon Organic,Dairy & Eggs,4.44,0.0694,Save $2,64.0,fl oz,1,True,False,https://example.com/walmart/products/wm_0036,2026-05-06T18:55:00,3.09
wm_0037,walmart,Horizon Organic 2% Reduced Fat Milk 1 gal,Horizon Organic,Dairy & Eggs,6.51,6.51,Save $2,1.0,gal,1,True,False,https://example.com/walmart/products/wm_0037,2026-05-06T18:04:00,3.74
wm_0038,walmart,"Fairlife Lactose Free 2% Ultra-Filtered Milk, 52 fl oz",Fairlife,Dairy & Eggs,3.98,0.0765,,52.0,fl oz,1,False,False,https://example.com/walmart/products/wm_0038,2026-05-06T17:13:00,2.97
wm_0039,walmart,"Chobani Non-Fat Greek Yogurt, Blueberry, 5.3 oz",Chobani,Dairy & Eggs,1.3,0.2453,,5.3,oz,1,False,False,https://example.com/walmart/products/wm_0039,2026-05-06T16:05:00,0.76
wm_0040,walmart,Chobani Non-Fat Greek Yogurt Blueberry 4-Pack 5.3 oz Cups,Chobani,Dairy & Eggs,5.57,,Save $1,5.3,oz,4,False,False,https://example.com/walmart/products/wm_0040,2026-05-06T15:14:00,4.07
wm_0041,walmart,"Chobani Non-Fat Greek Yogurt, Strawberry, 5.3 oz",Chobani,Dairy & Eggs,1.29,0.2434,Save $2,5.3,oz,1,False,False,https://example.com/walmart/products/wm_0041,2026-05-06T14:06:00,0.75
wm_0042,walmart,"Cheerios Original Cereal, 12 oz Box",Cheerios,Breakfast & Cereal,3.71,0.3092,Save $2,12.0,oz,1,False,False,https://example.com/walmart/products/wm_0042,2026-05-06T12:07:00,2.35
wm_0043,walmart,"Honey Nut Cheerios Cereal, 10.8 oz",Cheerios,Breakfast & Cereal,4.05,0.375,Rollback,10.8,oz,1,False,False,https://example.com/walmart/products/wm_0043,2026-05-06T11:16:00,3.12
wm_0044,walmart,"Kellogg's Frosted Flakes Cereal, 13.5 oz",Kellogg's,Breakfast & Cereal,4.4,,Rollback,13.5,oz,1,False,False,https://example.com/walmart/products/wm_0044,2026-05-06T10:25:00,2.46
wm_0045,walmart,"Quaker Oats Old Fashioned, 42 oz",Quaker,Breakfast & Cereal,5.48,,Save $1,42.0,oz,1,False,False,https://example.com/walmart/products/wm_0045,2026-05-06T09:17:00,3.79
wm_0046,walmart,"Tostitos Scoops Tortilla Chips, 10 oz Bag",Tostitos,Snacks,4.13,0.413,Rollback,10.0,oz,1,False,False,https://example.com/walmart/products/wm_0046,2026-05-06T08:43:00,2.42
wm_0047,walmart,"Doritos Nacho Cheese Flavored Tortilla Chips, 9.25 oz",Doritos,Snacks,4.89,,,9.25,oz,1,False,False,https://example.com/walmart/products/wm_0047,2026-05-06T07:52:00,3.55
wm_0048,walmart,"Lay's Cla$sic Potato Chip$, 8 oz Bag",Lay's,Snacks,4.03,,,8.0,oz,1,False,False,https://example.com/walmart/products/wm_0048,2026-05-06T07:01:00,2.81
wm_0049,walmart,"OREO Chocolate Sandwich Cookies, 14.3 oz",Oreo,Snacks,4.63,0.3238,Rollback,14.3,oz,1,False,False,https://example.com/walmart/products/wm_0049,2026-05-06T06:10:00,3.14
wm_0050,walmart,"RITZ Original Crackers, 13.7 oz",Ritz,Snacks,3.3,,Save $1,13.7,oz,1,False,False,https://example.com/walmart/products/wm_0050,2026-05-06T05:19:00,2.55
wm_0051,walmart,"Cheez-It Original Cheese Crackers, 12.4 oz",Cheez-It,Snacks,3.74,0.3016,,12.4,oz,1,False,False,https://example.com/walmart/products/wm_0051,2026-05-06T04:28:00,2.53
wm_0052,walmart,"Skippy Creamy Peanut Butter, 16.3 oz",Skippy,Pantry,3.15,0.1933,,16.3,oz,1,False,False,https://example.com/walmart/products/wm_0052,2026-05-06T03:37:00,1.85
wm_0053,walmart,"Jif Creamy Peanut Butter, 16 oz",Jif,Pantry,2.88,,,16.0,oz,1,False,False,https://example.com/walmart/products/wm_0053,2026-05-06T02:29:00,2.14
wm_0054,walmart,"Heinz Tomato Ketchup, 20 oz",Heinz,Pantry,3.01,,Rollback,20.0,oz,1,False,False,https://example.com/walmart/products/wm_0054,2026-05-06T01:38:00,2.02
wm_0055,walmart,"Hellmann's Real Mayonnaise, 30 oz",Hellmann's,Pantry,5.97,0.199,Save $1,30.0,oz,1,False,False,https://example.com/walmart/products/wm_0055,2026-05-06T00:47:00,4.21
wm_0056,walmart,"Kraft Original Mac & Cheese Dinner, 7.25 oz",Kraft,Pantry,1.37,0.189,,7.25,oz,1,False,False,https://example.com/walmart/products/wm_0056,2026-05-05T23:56:00,0.92
wm_0057,walmart,"Barilla Spaghetti, 16 oz",Barilla,Pantry,1.7,,,16.0,oz,1,False,False,https://example.com/walmart/products/wm_0057,2026-05-05T22:48:00,1.29
