product_id,retailer,raw_name,brand,category_raw,price,unit_price,promo_text,amount,unit,pack_count,is_organic,is_private_label,url,scraped_at,estimated_cost
wf_0001,whole_foods,"365 Organic Whole Milk, 128 fl oz",365,Dairy & Eggs,7.54,0.0589,,128.0,fl oz,1,True,True,https://example.com/whole_foods/products/wf_0001,2026-05-08T11:43:00,5.43
wf_0002,whole_foods,365 Whole Milk 1 Gallon,365,Dairy & Eggs,5.47,,Save $1,1.0,gal,1,False,True,https://example.com/whole_foods/products/wf_0002,2026-05-08T10:35:00,3.79
wf_0003,whole_foods,365 2% Reduced Fat Milk 64 fl oz,365,Dairy & Eggs,3.85,,,64.0,fl oz,1,False,True,https://example.com/whole_foods/products/wf_0003,2026-05-08T09:27:00,2.15
wf_0004,whole_foods,365 Unsweetened Almond Milk 64 fl oz,365,Plant-Based,4.07,0.0636,Save $1,64.0,fl oz,1,False,True,https://example.com/whole_foods/products/wf_0004,2026-05-08T08:36:00,3.04
wf_0005,whole_foods,365 Original Oat Milk 64 fl oz,365,Plant-Based,4.41,,,64.0,fl oz,1,False,True,https://example.com/whole_foods/products/wf_0005,2026-05-08T07:28:00,2.94
wf_0006,whole_foods,"365 Large Brown Eggs, Dozen",365,Dairy & Eggs,5.84,,Save $1,12.0,ct,1,False,True,https://example.com/whole_foods/products/wf_0006,2026-05-08T06:37:00,3.75
wf_0007,whole_foods,"Save $1 365 Organic Large Brown Eggs, Dozen",365,Dairy & Eggs,8.14,0.6783,Save $1,12.0,ct,1,True,True,https://example.com/whole_foods/products/wf_0007,2026-05-08T05:29:00,5.74
wf_0008,whole_foods,Save $1 365 Classic White Sandwich Bread 20 oz,365,Bakery,2.77,,Save $1,20.0,oz,1,False,True,https://example.com/whole_foods/products/wf_0008,2026-05-08T04:21:00,2.02
wf_0009,whole_foods,365 Creamy Peanut Butter 16 oz,365,Pantry,3.95,0.2469,,16.0,oz,1,False,True,https://example.com/whole_foods/products/wf_0009,2026-05-08T02:22:00,2.93
wf_0010,whole_foods,365 Restaurant Style Tortilla Chips 13 oz,365,Snacks,3.29,0.2531,,13.0,oz,1,False,True,https://example.com/whole_foods/products/wf_0010,2026-05-08T01:14:00,1.93
wf_0011,whole_foods,365 Organic Gala Apples 3 lb Bg,365,Produce,7.11,,Prime member deal,3.0,lb,1,True,True,https://example.com/whole_foods/products/wf_0011,2026-05-07T23:15:00,5.45
wf_0012,whole_foods,365 Sparkling Water Lime 8 pack 12 fl oz cans,365,Beverages,4.64,,,12.0,fl oz,8,False,True,https://example.com/whole_foods/products/wf_0012,2026-05-07T22:07:00,2.85
wf_0013,whole_foods,365 Organic Baby Spinach 5 oz Clamshell,365,Produce,4.99,,,5.0,oz,1,True,True,https://example.com/whole_foods/products/wf_0013,2026-05-07T20:59:00,3.43
wf_0014,whole_foods,Save $1 365 Plain Whole Milk Greek Yogurt 32 oz Tub,365,Dairy & Eggs,5.05,0.1578,Save $1,32.0,oz,1,False,True,https://example.com/whole_foods/products/wf_0014,2026-05-07T20:08:00,3.05
wf_0015,whole_foods,365 Unsalted Butter 4 sticks 16 oz,365,Dairy & Eggs,5.94,0.0928,Save $1,16.0,oz,4,False,True,https://example.com/whole_foods/products/wf_0015,2026-05-07T19:00:00,3.44
wf_0016,whole_foods,365 Organic Black Beans 15 oz Can,365,Pantry,1.33,,Save $1,15.0,oz,1,True,True,https://example.com/whole_foods/products/wf_0016,2026-05-07T17:01:00,0.76
wf_0017,whole_foods,365 Spaghetti Pasta 16 oz,365,Pantry,1.75,,,16.0,oz,1,False,True,https://example.com/whole_foods/products/wf_0017,2026-05-07T14:11:00,1.24
wf_0018,whole_foods,365 Extra Virgin Olive Oil 17 fl oz,365,Pantry,9.32,,Prime member deal,17.0,fl oz,1,False,True,https://example.com/whole_foods/products/wf_0018,2026-05-07T10:30:00,6.18
wf_0019,whole_foods,Prime member deal 365 Pure Honey 12 oz Squeeze Bottle,365,Pantry,6.14,0.5117,Prime member deal,12.0,oz,1,False,True,https://example.com/whole_foods/products/wf_0019,2026-05-07T09:22:00,4.29
wf_0020,whole_foods,"Coca-Cola Zero Sugar, 12 x 12 fl oz cans",Coca-Cola,Beverages,10.53,0.0731,Save $1,12.0,fl oz,12,False,False,https://example.com/whole_foods/products/wf_0020,2026-05-07T08:31:00,7.82
wf_0021,whole_foods,"Coca-Cola CIassic, 12 x 12 fI oz cans",Coca-Cola,Beverages,9.54,,,12.0,fl oz,12,False,False,https://example.com/whole_foods/products/wf_0021,2026-05-07T06:32:00,5.78
wf_0022,whole_foods,"LaCroix Sparkling Water, Lime, 8 x 12 fl oz cans",LaCroix,Beverages,5.12,,Save $1,12.0,fl oz,8,False,False,https://example.com/whole_foods/products/wf_0022,2026-05-07T02:00:00,3.97
wf_0023,whole_foods,"LaCroix Sparkling Water, Pamplemousse (Grapefruit), 8 x 12 fl oz cans",LaCroix,Beverages,4.95,,Prime member deal,12.0,fl oz,8,False,False,https://example.com/whole_foods/products/wf_0023,2026-05-07T00:01:00,3.21
wf_0024,whole_foods,Silk Unsweetened Almondmilk 64 fl oz,Silk,Plant-Based,5.69,,,64.0,fl oz,1,False,False,https://example.com/whole_foods/products/wf_0024,2026-05-06T23:10:00,3.41
wf_0025,whole_foods,0atly Orig1nal Oatmilk 64 fl 0z,Oatly,Plant-Based,5.76,0.09,,64.0,fl oz,1,False,False,https://example.com/whole_foods/products/wf_0025,2026-05-06T21:11:00,3.97
wf_0026,whole_foods,Oatly Barista Edition Oatmilk 32 fl oz,Oatly,Plant-Based,5.95,0.1859,,32.0,fl oz,1,False,False,https://example.com/whole_foods/products/wf_0026,2026-05-06T20:20:00,3.45
wf_0027,whole_foods,Horizn 0rganic Whole Milk 64 fl oz,Horizon Organic,Dairy & Eggs,5.41,,,64.0,fl oz,1,True,False,https://example.com/whole_foods/products/wf_0027,2026-05-06T19:29:00,3.79
wf_0028,whole_foods,"Chobani Greek Yogurt, Blueberry on the Bottom, 5.3 oz",Chobani,Dairy & Eggs,1.6,,Save $1,5.3,oz,1,False,False,https://example.com/whole_foods/products/wf_0028,2026-05-06T16:39:00,0.93
wf_0029,whole_foods,"Chobani Greek Yogurt, Strawberry on the Bottom, 5.3 oz",Chobani,Dairy & Eggs,1.58,0.2981,Save $1,5.3,oz,1,False,False,https://example.com/whole_foods/products/wf_0029,2026-05-06T14:40:00,1.17
wf_0030,whole_foods,FAGE Total Plain Whole Milk Greek Yogurt 35.3 oz,FAGE,Dairy & Eggs,7.5,,Save $1,35.3,oz,1,False,False,https://example.com/whole_foods/products/wf_0030,2026-05-06T13:32:00,5.25
wf_0031,whole_foods,General Mills Cheerios Original 12 oz,Cheerios,Breakfast,4.84,0.4033,,12.0,oz,1,False,False,https://example.com/whole_foods/products/wf_0031,2026-05-06T12:41:00,3.36
wf_0032,whole_foods,Quaker Old Fashioned Oats 42 oz,Quaker,Breakfast,7.86,0.1871,Prime member deal,42.0,oz,1,False,False,https://example.com/whole_foods/products/wf_0032,2026-05-06T09:51:00,5.74
wf_0033,whole_foods,Jif Creamy Peanut Butter 16 oz,Jif,Pantry,4.23,,,16.0,oz,1,False,False,https://example.com/whole_foods/products/wf_0033,2026-05-06T03:03:00,3.1
wf_0034,whole_foods,Barilla Spaghetti Pasta 16 oz,Barilla,Pantry,2.53,,,16.0,oz,1,False,False,https://example.com/whole_foods/products/wf_0034,2026-05-05T23:22:00,1.51
wf_0035,whole_foods,Rao's Homemade Marinara Sauce 24 oz,Rao's,Pantry,11.41,0.4754,Prime member deal,24.0,oz,1,False,False,https://example.com/whole_foods/products/wf_0035,2026-05-05T22:14:00,8.74
wf_0036,whole_foods,Ben & Jerry's Cherry Garcia Ice Cream 1 Pint,Ben & Jerry's,Frozen Foods,6.91,0.4319,,16.0,fl oz,1,False,False,https://example.com/whole_foods/products/wf_0036,2026-05-05T19:58:00,4.6
wf_0037,whole_foods,Tropicana Pure Premium Orange Juice No Pulp 52 fl oz,Tropicana,Beverages,6.23,0.1198,,52.0,fl oz,1,False,False,https://example.com/whole_foods/products/wf_0037,2026-05-05T17:59:00,4.83
